pdf	classification	questions	positive_evidence_questions	confidence	sample
2023_tier1_prepp_2023-07-21_shift1_alt	leaking	101	53	high	"rrect_option_label"": null, ""correct_option_text"": null, ""is_complete_on_page"": true, ""confidence"": ""high"", ""notes"": ""No green tick or red cross visible for this question; answer options are listed as a, b, c, d, but the response sheet field is not visible.""}"
2023_tier1_prepp_2023-07-21_shift3	leaking	100	46	high	The question involves selecting a figure to complete a pattern. The correct option is marked with a green tick, and the chosen option matches it. All four options are figures, labeled as Figure 1 to Figure 4.
2023_tier1_prepp_2023-07-21_shift4	leaking	100	48	high	Green tick on option 2 indicates correct answer. Chosen option is also 2.
2023_tier1_prepp_2023-07-24_shift3	leaking	96	41	high	Green checkmark indicates correct option; red crosses indicate incorrect options. Chosen option matches correct option.
2023_tier1_prepp_2023-07-24_shift4	leaking	100	38	high	Green tick on option 2 indicates correct answer. Chosen option is also 2.
2023_tier1_prepp_2023-07-25_shift1	leaking	94	28	high	Correct option marked with green tick, chosen option matches.
2023_tier1_prepp_2023-07-25_shift4	leaking	95	38	high	Note: Option 2 and 3 appear identical in the image, but based on visual marking, option 3 is marked correct. The text is rendered identically for both, but the system marks option 3 as correct.
2023_tier1_prepp_2023-07-26_shift1	leaking	100	45	high	nvolves a figure series with five boxes, the last containing a question mark. The answer options are four figures, with option 4 marked with a green check as correct. The chosen option is also 4.
2023_tier1_prepp_2023-07-26_shift4	leaking	100	44	high	Venn diagrams are represented as figures; option 3 is marked with green tick as correct, chosen option is also 3.
2023_tier1_prepp_2023-07-27_shift1	leaking	100	36	high	Problem figure is a square with four triangles pointing inward and 'B E' in center. Answer options are mirror images. Option 3 is marked with green tick as correct. Chosen option is 3.
2023_tier1_prepp_2023-07-27_shift2	leaking	100	38	high	The question involves a figure series with stars and arrows. The correct answer is marked with a green check, and the chosen option is also 4. All four options are figures, labeled as Figure 1 to Figure 4 for consistency.
2023_tier2_prepp_2023-10-26_shift1	leaking	147	58	high	Correct option marked with green tick, chosen option is 3.
2024_tier1_prepp_2024-09-09_shift1	leaking	105	68	high	Correct option is marked with green tick (option 3). Chosen option not marked. All four options visible.
2024_tier1_prepp_2024-09-09_shift2	leaking	102	57	high	Question stem is incomplete; likely continuation of a previous question. No answer options are marked with green tick or red cross. Only four options visible, but no indication of correct or chosen answer.
2024_tier1_prepp_2024-09-10_shift1	leaking	99	61	high	Correct option marked with green tick. Chosen option not visible.
2024_tier1_prepp_2024-09-10_shift3	leaking	97	57	high	No green tick or red cross visible for this question; answer choices are listed as a, b, c, d but no selection or correctness indicator is shown.
2024_tier1_prepp_2024-09-11_shift2	leaking	104	64	high	Question 1 is visible but answer options are not marked with green tick or red cross, so correct option cannot be determined. Chosen option is not marked either.
2024_tier1_prepp_2024-09-24_shift1	leaking	108	65	high	Correct option marked with green tick. Chosen option not marked.
2024_tier1_prepp_2024-09-25_shift3	leaking	100	41	high	Mirror image question with figure-based options. Option 2 is marked with green check as correct. Chosen option is also 2.
2024_tier1_prepp_2024-09-26_shift2	leaking	98	58	high	The correct option is marked with a green check, and the chosen option matches it. All four options are figures and are extracted as such.
2024_tier2_prepp_2025-01-18_paper1	leaking	161	85	high	"rrect_option_label"": null, ""correct_option_text"": null, ""is_complete_on_page"": true, ""confidence"": ""high"", ""notes"": ""No green tick or red cross visible for this question; answer choices are listed as a, b, c, d.""}"
2024_tier2_prepp_2025-01-20_paper1	leaking	158	90	high	No green tick or red cross visible for this question. Answer choices are labeled a, b, c, d but no marking indicates correct or chosen answer.
