global_q,page,section_q,modality,llm_only_correct,precision_correct,deterministic_label,evidence_status,evidence_source,comparison,blocking_reasons,chosen_option,question_crop_path,option_crop_paths,green_fractions,question_text_short
1,1,1,text_only,4,4,4,PASS_WITH_EVIDENCE,rgb_hsv_option_crop,same_auto_accepted,,1,C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p01_q001_question.png,C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p01_q001_opt_1_option.png;C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p01_q001_opt_2_option.png;C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p01_q001_opt_3_option.png;C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p01_q001_opt_4_option.png,1:0.00032;2:0.00103;3:0.00100;4:0.00854,Select the set of letters that when sequentially placed in the blanks of the given letter series will complete the series. k_lmml_mk_mmk_lkkl_m
12,5,12,math_formula,1,1,1,PASS_WITH_EVIDENCE,rgb_hsv_option_crop,same_auto_accepted,,1,C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p05_q012_question.png,C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p05_q012_opt_1_option.png;C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p05_q012_opt_2_option.png;C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p05_q012_opt_3_option.png;C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p05_q012_opt_4_option.png,1:0.00884;2:0.00000;3:0.00000;4:0.00000,"The ratio of the present ages of Asha and Lata is 5 : 6. If the difference between their ages is 6 years, then what will be Lata's age will be after 5 years?"
13,5,13,text_only,4,,AMBIGUOUS,PASS_WITH_MANUAL_REVIEW,ambiguous_rgb_hsv_option_crop,llm_answer_blocked_for_review,correct_option_unresolved_or_conflict,4,C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p05_q013_question.png,C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p05_q013_opt_1_option.png;C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p05_q013_opt_2_option.png;C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p05_q013_opt_3_option.png;C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p05_q013_opt_4_option.png,1:0.00367;2:0.00117;3:0.00134;4:0.01114,"Read the given statements and conclusions carefully. Assuming that the information given in the statements is true, even if it appears to be at variance with commonly known facts, "
14,5,14,text_only,3,3,3,PASS_WITH_EVIDENCE,rgb_hsv_option_crop,same_auto_accepted,,3,C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p05_q014_question.png,C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p05_q014_opt_1_option.png;C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p05_q014_opt_2_option.png;C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p05_q014_opt_3_option.png;C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p05_q014_opt_4_option.png,1:0.00061;2:0.00068;3:0.01376;4:0.00084,"In a certain code language, 'HARVEST' is coded as '22-21-7-24-20-3-10'. How will 'FARMER' be coded as in that language?"
15,6,15,math_formula,4,4,4,PASS_WITH_EVIDENCE,rgb_hsv_option_crop,same_auto_accepted,,4,C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p06_q015_question.png,C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p06_q015_opt_1_option.png;C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p06_q015_opt_2_option.png;C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p06_q015_opt_3_option.png;C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p06_q015_opt_4_option.png,1:0.00050;2:0.00022;3:0.00025;4:0.00936,"In the following equations, if '+' is interchanged with '-' and '6' is interchanged with '7', then which equation would be correct?"
16,6,16,text_only,3,3,3,PASS_WITH_EVIDENCE,rgb_hsv_option_crop,same_auto_accepted,,3,C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p06_q016_question.png,C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p06_q016_opt_1_option.png;C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p06_q016_opt_2_option.png;C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p06_q016_opt_3_option.png;C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p06_q016_opt_4_option.png,1:0.00096;2:0.00011;3:0.01314;4:0.00000,"Select the number that can replace the question mark (?) in the following series. 17, 21, 30, 46, 71, ?"
17,6,17,visual_options,3,3,3,PASS_WITH_EVIDENCE,rgb_hsv_option_crop,same_auto_accepted,,,C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p06_q017_question.png,C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p06_q017_opt_1_option.png;C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p06_q017_opt_2_option.png;C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p06_q017_opt_3_option.png;C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p06_q017_opt_4_option.png,1:0.00000;2:0.00000;3:0.01285;4:0.00000,How many rectangles are there in the given figure?
18,7,18,text_only,1,1,1,PASS_WITH_EVIDENCE,rgb_hsv_option_crop,same_auto_accepted,,1,C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p07_q018_question.png,C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p07_q018_opt_1_option.png;C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p07_q018_opt_2_option.png;C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p07_q018_opt_3_option.png;C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p07_q018_opt_4_option.png,1:0.00945;2:0.00052;3:0.00139;4:0.00034,"Select the option in which the numbers are related in the same way as are the numbers in the given set. (269, 278, 296)"
19,7,19,text_only,3,3,3,PASS_WITH_EVIDENCE,rgb_hsv_option_crop,same_auto_accepted,,3,C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p07_q019_question.png,C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p07_q019_opt_1_option.png;C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p07_q019_opt_2_option.png;C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p07_q019_opt_3_option.png;C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p07_q019_opt_4_option.png,1:0.00087;2:0.00099;3:0.01276;4:0.00026,Select the option that is related to the third word in the same way as the second word is related to the first word. Medicine : Disease :: Food : ?
20,7,20,text_only,3,3,3,PASS_WITH_EVIDENCE,rgb_hsv_option_crop,same_auto_accepted,,3,C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p07_q020_question.png,C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p07_q020_opt_1_option.png;C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p07_q020_opt_2_option.png;C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p07_q020_opt_3_option.png;C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p07_q020_opt_4_option.png,1:0.00194;2:0.00092;3:0.01216;4:0.00005,Amit is the brother of Sonia. Jyoti is the sister of Nikita. Sonia is the daughter of Satish's father. Nikita is the daughter of Kavinder. Jyoti is the mother of Amit. Mukesh is Ni
21,7,21,text_only,4,,AMBIGUOUS,PASS_WITH_MANUAL_REVIEW,ambiguous_rgb_hsv_option_crop,llm_answer_blocked_for_review,correct_option_unresolved_or_conflict,4,C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p07_q021_question.png,C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p07_q021_opt_1_option.png;C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p07_q021_opt_2_option.png;C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p07_q021_opt_3_option.png;C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p07_q021_opt_4_option.png,1:0.00193;2:0.00204;3:0.00201;4:0.00957,Select the option in which the words share the same relationship as that shared by the given pair of words. Clock : Time
22,8,22,visual_options,4,4,4,PASS_WITH_EVIDENCE,rgb_hsv_option_crop,same_auto_accepted,,4,C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p08_q022_question.png,C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p08_q022_opt_1_option.png;C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p08_q022_opt_2_option.png;C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p08_q022_opt_3_option.png;C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p08_q022_opt_4_option.png,1:0.00000;2:0.00000;3:0.00000;4:0.00360,Select the option figure in which the given figure is embedded (rotation is NOT allowed).
23,8,23,text_only,3,3,3,PASS_WITH_EVIDENCE,rgb_hsv_option_crop,same_auto_accepted,,3,C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p08_q023_question.png,C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p08_q023_opt_1_option.png;C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p08_q023_opt_2_option.png;C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p08_q023_opt_3_option.png;C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p08_q023_opt_4_option.png,1:0.00046;2:0.00055;3:0.01331;4:0.00004,"Four letter-clusters have been given, out of which three are alike in some manner, while one is different. Select the odd letter-cluster."
24,9,24,text_only,3,3,3,PASS_WITH_EVIDENCE,rgb_hsv_option_crop,same_auto_accepted,,3,C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p09_q024_question.png,C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p09_q024_opt_1_option.png;C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p09_q024_opt_2_option.png;C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p09_q024_opt_3_option.png;C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p09_q024_opt_4_option.png,1:0.00060;2:0.00159;3:0.01340;4:0.00070,"In a certain code language, WARDROBE is written as YXVYXHJV. How will ACCURATE be written as in that language?"
25,9,25,table_di,1,1,1,PASS_WITH_EVIDENCE,rgb_hsv_option_crop,same_auto_accepted,,1,C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p09_q025_question.png,C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p09_q025_opt_1_option.png;C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p09_q025_opt_2_option.png;C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p09_q025_opt_3_option.png;C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p09_q025_opt_4_option.png,1:0.00969;2:0.00000;3:0.00005;4:0.00002,"Select the letter-cluster that can replace the question mark (?) in the following series. CXB, HUI, MRP, ROW, ?"
